Time,Range,Vel,Lat_nominal,Lon_nominal,Alt_nominal,Alt_90km,Lat_90km,Lon_90km
236.3,136.6,1066.1,66.351013,-147.250595,388.0,89.9755952336673,66.86401899871515,-146.87979513225932
236.4,136.7,1065.4,66.351555,-147.250488,388.1,89.97158988495053,66.8647169333284,-146.87956655229215
236.5,136.7,1064.7,66.352097,-147.250381,388.1,89.95852812108387,66.86526431829819,-146.87944543935876
236.6,136.8,1064.0,66.352638,-147.250275,388.2,89.95453392121823,66.86596124838789,-146.8792178778955
236.7,136.8,1063.3,66.353188,-147.250168,388.3,89.95031442427549,66.86666727156278,-146.878989079237
236.8,136.9,1062.6,66.353729,-147.250046,388.4,89.9462324538157,66.86736422965559,-146.87874535626977
236.9,137.0,1061.9,66.354271,-147.249939,388.5,89.94217659093027,66.86806218425409,-146.87851673272544
237.0,137.0,1061.2,66.354813,-147.249832,388.6,89.93810931641212,66.86876014338462,-146.87828809957605
237.1,137.1,1060.5,66.355354,-147.249725,388.6,89.92504601259817,66.86930652790879,-146.8781669848496
237.2,137.1,1059.8,66.355896,-147.249619,388.7,89.92096658458777,66.87000449221763,-146.87793934592233
237.3,137.2,1059.1,66.356438,-147.249496,388.8,89.91680666622857,66.87070248120494,-146.87769454602648
237.4,137.3,1058.4,66.356979,-147.24939,388.9,89.99928896777413,66.87125059915915,-146.87757885138447
237.5,137.3,1057.8,66.357521,-147.249283,389.0,89.99517634214494,66.87194857624539,-146.87735018030725
237.6,137.4,1057.1,66.35807,-147.249176,389.1,89.99088863575973,66.87265362599337,-146.87712132904645
237.7,137.4,1056.4,66.358612,-147.249069,389.1,89.9777808792043,66.8732010280561,-146.87700016820992
237.8,137.5,1055.7,66.359154,-147.248947,389.2,89.97357951365763,66.87389903387347,-146.87675633906045
237.9,137.6,1055.0,66.359695,-147.24884,389.3,89.96945113228408,66.8745960166879,-146.87652765833772
238.0,137.6,1054.3,66.360237,-147.248734,389.4,89.96529201001512,66.87529401258497,-146.87629995253988
238.1,137.7,1053.6,66.360786,-147.248627,389.5,89.96095348061593,66.8759990824258,-146.87607105738059
238.2,137.8,1052.9,66.361328,-147.24852,389.6,89.9567673807294,66.87669708860372,-146.87584232336647
238.3,137.8,1052.2,66.36187,-147.248398,389.6,89.9435735781683,66.87724451778666,-146.8757060024839
238.4,137.9,1051.5,66.362411,-147.248291,389.7,89.93939464679484,66.8779415205909,-146.8754772781387
238.5,137.9,1050.8,66.362953,-147.248184,389.8,89.93518086174738,66.87863953768051,-146.87524851975633
238.6,138.0,1050.2,66.363503,-147.248077,389.9,89.93076803097081,66.8793456373799,-146.87501955622682
238.7,138.1,1049.5,66.364044,-147.247971,390.0,89.9265588606766,66.88004265261486,-146.87479181190972
238.8,138.1,1048.8,66.364586,-147.247849,390.1,89.92224949227042,66.88074070121696,-146.87454789048283
